,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
927,Cambodia,Asia,2017,12.41937048149082
928,Cambodia,Asia,2018,12.38773158453598
929,Cambodia,Asia,2019,12.36088748711275
1110,China,Asia,1990,11.64213791509017
1111,China,Asia,1991,11.77382423483549
1112,China,Asia,1992,11.88508067326863
1113,China,Asia,1993,11.972029990830867
1114,China,Asia,1994,12.02809325480618
1115,China,Asia,1995,12.04935142709669
1116,China,Asia,1996,12.04386912610938
1117,China,Asia,1997,12.027574064606169
1118,China,Asia,1998,12.00183855703456
1119,China,Asia,1999,11.96920670777433
1120,China,Asia,2000,11.93066965976808
1121,China,Asia,2001,11.87678023859806
1122,China,Asia,2002,11.8030074338001
1123,China,Asia,2003,11.72403145080477
1124,China,Asia,2004,11.65363901294886
1125,China,Asia,2005,11.607503822901
1126,China,Asia,2006,11.57867367509315
1127,China,Asia,2007,11.550950451816847
1128,China,Asia,2008,11.52434575633806
1129,China,Asia,2009,11.49909739588231
1130,China,Asia,2010,11.47535722922725
1131,China,Asia,2011,11.43978220390344
1132,China,Asia,2012,11.38836101219727
1133,China,Asia,2013,11.334805675342
1134,China,Asia,2014,11.29305591988756
1135,China,Asia,2015,11.278487621602649
1136,China,Asia,2016,11.33046348754711
1137,China,Asia,2017,11.38605697042987
1138,China,Asia,2018,11.37025382159255
1139,China,Asia,2019,11.309431249460369
1380,Cyprus,Asia,1990,15.555805851693922
1381,Cyprus,Asia,1991,15.54311587264366
1382,Cyprus,Asia,1992,15.53132253552655
1383,Cyprus,Asia,1993,15.52156514761019
1384,Cyprus,Asia,1994,15.51578198615704
1385,Cyprus,Asia,1995,15.516091626465
1386,Cyprus,Asia,1996,15.52688888555911
1387,Cyprus,Asia,1997,15.55640063392934
1388,Cyprus,Asia,1998,15.58718269298419
1389,Cyprus,Asia,1999,15.61665270151436
1390,Cyprus,Asia,2000,15.62928680220043
1391,Cyprus,Asia,2001,15.63757322423506
1392,Cyprus,Asia,2002,15.64996080844591
1393,Cyprus,Asia,2003,15.66229409050164
1394,Cyprus,Asia,2004,15.67213031971445
1395,Cyprus,Asia,2005,15.68125613583639
1396,Cyprus,Asia,2006,15.66785463020135
1397,Cyprus,Asia,2007,15.640147519198798
1398,Cyprus,Asia,2008,15.605941617177647
1399,Cyprus,Asia,2009,15.57875188315504
1400,Cyprus,Asia,2010,15.570797049847352
1401,Cyprus,Asia,2011,15.58074721679382
1402,Cyprus,Asia,2012,15.60056506767841
1403,Cyprus,Asia,2013,15.625917723904251
1404,Cyprus,Asia,2014,15.64471718159613
1405,Cyprus,Asia,2015,15.65594403598415
1406,Cyprus,Asia,2016,15.63636248981962
1407,Cyprus,Asia,2017,15.61642066168743
1408,Cyprus,Asia,2018,15.63961626920334
1409,Cyprus,Asia,2019,15.701163118200482
2010,Georgia,Asia,1990,10.96014716187962
2011,Georgia,Asia,1991,11.00385833036015
2012,Georgia,Asia,1992,11.05387146063056
2013,Georgia,Asia,1993,11.10095452738192
2014,Georgia,Asia,1994,11.1496279285325
2015,Georgia,Asia,1995,11.20146762472772
2016,Georgia,Asia,1996,11.258033976551369
2017,Georgia,Asia,1997,11.32722176166354
2018,Georgia,Asia,1998,11.39491665002131
2019,Georgia,Asia,1999,11.44413916676457
2020,Georgia,Asia,2000,11.46636693318518
2021,Georgia,Asia,2001,11.46214234498343
2022,Georgia,Asia,2002,11.44039353732734
2023,Georgia,Asia,2003,11.408028827491
