,Entity,Regional Indicator,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
1154,Colombia,South America,2004,0.28827969650443,0.77410627269246,0.19707572276381,5.48615045778981,0.88184734855515,2.71968662193951,2.27530404399431
1155,Colombia,South America,2005,0.2886439669934399,0.77477975151745,0.19750379802571,5.48765873534692,0.88637847150402,2.71594896712034,2.27162012182906
1156,Colombia,South America,2006,0.28923080728655,0.77539327530305,0.19889078647656,5.35312185686755,0.88840947929144,2.679467052581,2.25966882768807
1157,Colombia,South America,2007,0.2901935816763299,0.77625048140425,0.2007355004353699,5.03438452127187,0.89189647103469,2.6009914017565,2.23618825858802
1158,Colombia,South America,2008,0.29129826552895,0.77719934025032,0.20369204042588,4.65405552400244,0.8942724091655601,2.50536027544501,2.20893337935604
1159,Colombia,South America,2009,0.2923302957316699,0.7781432529015,0.20669087875305,4.3359142074695,0.8959526543602001,2.4192917405843,2.18583845649518
1160,Colombia,South America,2010,0.29307152801897,0.77896225878038,0.20920563830644,4.20429610886729,0.89734200541065,2.36911061381157,2.17526034328441
1161,Colombia,South America,2011,0.293572862575,0.77956170210612,0.21207016698387,4.20832424508845,0.89653887657125,2.34587184935907,2.17397177906961
1162,Colombia,South America,2012,0.29404275125467,0.77999984514104,0.2149064213576,4.21473851091501,0.8939403712323,2.32530478636319,2.17278365659601
1163,Colombia,South America,2013,0.29450072380663,0.7803786723988501,0.2172139361991099,4.22446248531889,0.8899249453598599,2.30647435150062,2.17134288786758
1164,Colombia,South America,2014,0.29495703950259,0.7807651644445,0.22032253714944,4.23819554850828,0.8871543255752601,2.29410532683355,2.1693451710518104
1165,Colombia,South America,2015,0.29543184111778,0.78124845238013,0.22316119800433,4.25678029172208,0.8847829652143699,2.28929603019698,2.16659431678523
1166,Colombia,South America,2016,0.29657279833951,0.78188656613084,0.22760503525085,4.600260662467679,0.8963938606267701,2.30830108149074,2.14522044549645
1167,Colombia,South America,2017,0.29758490920765,0.78237820800408,0.23056831147419,4.94900007163643,0.91599271917284,2.32846718420473,2.12813562049201
1168,Colombia,South America,2018,0.29740331087573,0.78288981013354,0.2324689632994799,4.97504240411269,0.92206242328996,2.3371425597754,2.1598208820715703
1169,Colombia,South America,2019,0.2964946274143,0.78378351633375,0.23395162031308,4.9807438914909605,0.92191016169779,2.35144312792682,2.23480122785489
1260,Costa Rica,North America,1990,0.29230726207679,0.90541261843979,0.19786112354694,4.19102258907306,0.56491711922611,3.20549353615212,1.82517597503688
1261,Costa Rica,North America,1991,0.2924811324085,0.90573632102287,0.1986893444935999,4.19430400696066,0.5647951826786399,3.20281634271646,1.81158231351839
1262,Costa Rica,North America,1992,0.29272913909065,0.90616485746125,0.20011381357774,4.19794577704384,0.56568488499019,3.20179532135146,1.80178819999242
1263,Costa Rica,North America,1993,0.29301513414843,0.90664326845526,0.20089570525368,4.20159037549224,0.56549901103003,3.2043845625939302,1.7958337968802
1264,Costa Rica,North America,1994,0.29332091156377,0.9071591341595,0.20250449954481,4.20502948973778,0.5668658733590001,3.207144973239489,1.79389956021649
1265,Costa Rica,North America,1995,0.29362983384232,0.90772241609233,0.20277027247364,4.20830367118411,0.56854428795574,3.212017582916,1.7962006526447998
1266,Costa Rica,North America,1996,0.29407450214108,0.90836080050415,0.20415064512021,4.21170661953988,0.57084747448422,3.22289393620672,1.8068026636379304
1267,Costa Rica,North America,1997,0.29473047417649,0.90913689951407,0.20538462460624,4.21575350639643,0.57412624732173,3.23717548447018,1.8260091549068096
1268,Costa Rica,North America,1998,0.29544896370326,0.90996033655233,0.20678500458033,4.22012019829781,0.57755810231033,3.25560318096808,1.84777732627818
1269,Costa Rica,North America,1999,0.29612652026373,0.91088558287609,0.20836822861687,4.22510856189418,0.58026340287248,3.2750249426309,1.86633302672351
1270,Costa Rica,North America,2000,0.29663824360999,0.91190769631967,0.20964830869935,4.23073585053624,0.58209069930298,3.28808916174096,1.8758072137481905
1271,Costa Rica,North America,2001,0.29695026684725,0.91308958579804,0.2107760945159,4.23748705477558,0.586843783702,3.29931848370319,1.87399701179008
1272,Costa Rica,North America,2002,0.29716505275576,0.91444994278117,0.2125014093066,4.24558671741632,0.59653343127355,3.31208764937756,1.86532099218238
1273,Costa Rica,North America,2003,0.29734319248204,0.91584645387008,0.21358288608556,4.25432832152995,0.60909984365243,3.32412370063748,1.85391583350404
1274,Costa Rica,North America,2004,0.29753860624361,0.91712434231365,0.21504337671437,4.26290292537753,0.61838915708512,3.33378475070344,1.8438874551735
1275,Costa Rica,North America,2005,0.29781538856908,0.91813240367427,0.21721854541737,4.270488843572609,0.62495046278853,3.34299666597248,1.83941417538642
1276,Costa Rica,North America,2006,0.29847231319092,0.91905873773561,0.2189929461402,4.2796668364456805,0.6274179647907,3.3481855597407897,1.84939503140287
1277,Costa Rica,North America,2007,0.29959541570917,0.92017810546859,0.22199907517002,4.292694150709949,0.6301543528332301,3.35463002311806,1.8739099232082697
1278,Costa Rica,North America,2008,0.30086862439579,0.92132884988463,0.22494031094107,4.30763223201024,0.63208942116329,3.36189945032093,1.9036270179979504
1279,Costa Rica,North America,2009,0.30198902387985,0.92239607793854,0.2279366403737,4.32273836184632,0.63288200498945,3.36783676643479,1.92928650741064
1280,Costa Rica,North America,2010,0.30265374184356,0.92326463527703,0.23084048272073,4.33642782794916,0.63385402561193,3.3730762031905304,1.9415113972749705
1281,Costa Rica,North America,2011,0.30294232012118,0.92404559667442,0.23266663854186,4.35358900539278,0.63177355582219,3.37814078410867,1.94283711087152
1282,Costa Rica,North America,2012,0.30317632795148,0.92492860165802,0.23487211299125,4.37731605504297,0.62784164612615,3.3843096428500705,1.9425029024131
1283,Costa Rica,North America,2013,0.30338552822864,0.92586518119853,0.23708711006793,4.403271701047149,0.62345120368483,3.39181926175361,1.94091326705614
